instant,dteday,season,day_of_week,workingday,weather_situation,temp,atemp,humidity,windspeed,casual,registered,count,day_type,temp_cluster,humidity_cluster
1,2011-01-01,spring,saturday,0,misty,34.4167,0.363625,80.58330000000001,0.160446,331,654,985,weekend,Panas,Lembab
2,2011-01-02,spring,sunday,0,misty,36.3478,0.353739,69.6087,0.248539,131,670,801,weekend,Panas,Ideal
3,2011-01-03,spring,monday,1,clear,19.636400000000002,0.189405,43.7273,0.248309,120,1229,1349,weekdays,Dingin,Kering
4,2011-01-04,spring,tuesday,1,clear,20.0,0.212122,59.0435,0.160296,108,1454,1562,weekdays,Dingin,Ideal
5,2011-01-05,spring,wednesday,1,clear,22.6957,0.22927,43.695699999999995,0.1869,82,1518,1600,weekdays,Ideal,Kering
6,2011-01-06,spring,thursday,1,clear,20.4348,0.233209,51.8261,0.0895652,88,1518,1606,weekdays,Ideal,Ideal
7,2011-01-07,spring,friday,1,misty,19.6522,0.208839,49.8696,0.168726,148,1362,1510,weekdays,Dingin,Ideal
8,2011-01-08,spring,saturday,0,misty,16.5,0.162254,53.5833,0.266804,68,891,959,weekend,Dingin,Ideal
9,2011-01-09,spring,sunday,0,clear,13.833300000000001,0.116175,43.416700000000006,0.36195,54,768,822,weekend,Dingin,Kering
10,2011-01-10,spring,monday,1,clear,15.0833,0.150888,48.2917,0.223267,41,1280,1321,weekdays,Dingin,Ideal
11,2011-01-11,spring,tuesday,1,misty,16.9091,0.191464,68.6364,0.122132,43,1220,1263,weekdays,Dingin,Ideal
12,2011-01-12,spring,wednesday,1,clear,17.2727,0.160473,59.954499999999996,0.304627,25,1137,1162,weekdays,Dingin,Ideal
13,2011-01-13,spring,thursday,1,clear,16.5,0.150883,47.0417,0.301,38,1368,1406,weekdays,Dingin,Ideal
14,2011-01-14,spring,friday,1,clear,16.087,0.188413,53.7826,0.126548,54,1367,1421,weekdays,Dingin,Ideal
15,2011-01-15,spring,saturday,0,misty,23.3333,0.248112,49.875,0.157963,222,1026,1248,weekend,Ideal,Ideal
16,2011-01-16,spring,sunday,0,clear,23.166700000000002,0.234217,48.375,0.188433,251,953,1204,weekend,Ideal,Ideal
17,2011-01-17,spring,monday,0,misty,17.583299999999998,0.176771,53.75,0.194017,117,883,1000,weekdays,Dingin,Ideal
18,2011-01-18,spring,tuesday,1,misty,21.6667,0.232333,86.16669999999999,0.146775,9,674,683,weekdays,Ideal,Lembab
19,2011-01-19,spring,wednesday,1,misty,29.217399999999998,0.298422,74.1739,0.208317,78,1572,1650,weekdays,Ideal,Lembab
20,2011-01-20,spring,thursday,1,misty,26.1667,0.25505,53.833299999999994,0.195904,83,1844,1927,weekdays,Ideal,Ideal
21,2011-01-21,spring,friday,1,clear,17.75,0.157833,45.7083,0.353242,75,1468,1543,weekdays,Dingin,Ideal
22,2011-01-22,spring,saturday,0,clear,5.91304,0.0790696,40.0,0.17197,93,888,981,weekend,Sangat Dingin,Kering
23,2011-01-23,spring,sunday,0,clear,9.65217,0.0988391,43.6522,0.2466,150,836,986,weekend,Sangat Dingin,Kering
24,2011-01-24,spring,monday,1,clear,9.73913,0.11793,49.173899999999996,0.15833,86,1330,1416,weekdays,Sangat Dingin,Ideal
25,2011-01-25,spring,tuesday,1,misty,22.3478,0.234526,61.695699999999995,0.129796,186,1799,1985,weekdays,Ideal,Ideal
26,2011-01-26,spring,wednesday,1,light_rain/snow,21.75,0.2036,86.25,0.29385,34,472,506,weekdays,Ideal,Lembab
27,2011-01-27,spring,thursday,1,clear,19.5,0.2197,68.75,0.113837,15,416,431,weekdays,Dingin,Ideal
28,2011-01-28,spring,friday,1,misty,20.3478,0.223317,79.30430000000001,0.1233,38,1129,1167,weekdays,Ideal,Lembab
29,2011-01-29,spring,saturday,0,clear,19.6522,0.212126,65.17389999999999,0.145365,123,975,1098,weekend,Dingin,Ideal
30,2011-01-30,spring,sunday,0,clear,21.6522,0.250322,72.2174,0.0739826,140,956,1096,weekend,Ideal,Lembab
31,2011-01-31,spring,monday,1,misty,18.083299999999998,0.18625,60.375,0.187192,42,1459,1501,weekdays,Dingin,Ideal
32,2011-02-01,spring,tuesday,1,misty,19.2174,0.23453,82.9565,0.053213,47,1313,1360,weekdays,Dingin,Lembab
33,2011-02-02,spring,wednesday,1,misty,26.0,0.254417,77.5417,0.264308,72,1454,1526,weekdays,Ideal,Lembab
34,2011-02-03,spring,thursday,1,clear,18.695700000000002,0.177878,43.7826,0.277752,61,1489,1550,weekdays,Dingin,Kering
35,2011-02-04,spring,friday,1,misty,21.130399999999998,0.228587,58.521699999999996,0.127839,88,1620,1708,weekdays,Ideal,Ideal
36,2011-02-05,spring,saturday,0,misty,23.3333,0.243058,92.91669999999999,0.161079,100,905,1005,weekend,Ideal,Lembab
37,2011-02-06,spring,sunday,0,clear,28.5833,0.291671,56.833299999999994,0.1418,354,1269,1623,weekend,Ideal,Ideal
38,2011-02-07,spring,monday,1,clear,27.1667,0.303658,73.83330000000001,0.0454083,120,1592,1712,weekdays,Ideal,Lembab
39,2011-02-08,spring,tuesday,1,clear,22.0833,0.198246,53.7917,0.36195,64,1466,1530,weekdays,Ideal,Ideal
40,2011-02-09,spring,wednesday,1,misty,13.478299999999999,0.144283,49.4783,0.188839,53,1552,1605,weekdays,Dingin,Ideal
41,2011-02-10,spring,thursday,1,clear,14.434800000000001,0.149548,43.7391,0.221935,47,1491,1538,weekdays,Dingin,Kering
42,2011-02-11,spring,friday,1,clear,18.909100000000002,0.213509,50.6364,0.10855,149,1597,1746,weekdays,Dingin,Ideal
43,2011-02-12,spring,saturday,0,clear,22.25,0.232954,54.4167,0.203367,288,1184,1472,weekend,Ideal,Ideal
44,2011-02-13,spring,sunday,0,clear,31.652200000000004,0.324113,45.7391,0.260883,397,1192,1589,weekend,Panas,Ideal
45,2011-02-14,spring,monday,1,clear,41.5,0.39835,37.583299999999994,0.417908,208,1705,1913,weekdays,,Kering
46,2011-02-15,spring,tuesday,1,clear,26.608700000000002,0.254274,31.434800000000003,0.291374,140,1675,1815,weekdays,Ideal,Kering
47,2011-02-16,spring,wednesday,1,clear,31.8261,0.3162,42.3478,0.251791,218,1897,2115,weekdays,Panas,Kering
48,2011-02-17,spring,thursday,1,clear,43.5833,0.428658,50.5,0.230104,259,2216,2475,weekdays,,Ideal
49,2011-02-18,spring,friday,1,clear,52.1667,0.511983,51.6667,0.264925,579,2348,2927,weekdays,,Ideal
50,2011-02-19,spring,saturday,0,clear,39.9167,0.391404,18.7917,0.507463,532,1103,1635,weekend,Panas,Kering
51,2011-02-20,spring,sunday,0,clear,28.5217,0.27733,40.7826,0.223235,639,1173,1812,weekend,Ideal,Kering
52,2011-02-21,spring,monday,0,misty,30.3333,0.284075,60.5,0.307846,195,912,1107,weekdays,Panas,Ideal
53,2011-02-22,spring,tuesday,1,clear,18.2222,0.186033,57.7778,0.195683,74,1376,1450,weekdays,Dingin,Ideal
54,2011-02-23,spring,wednesday,1,clear,22.1739,0.245717,42.3043,0.094113,139,1778,1917,weekdays,Ideal,Kering
55,2011-02-24,spring,thursday,1,misty,29.565200000000004,0.289191,69.7391,0.250496,100,1707,1807,weekdays,Ideal,Ideal
56,2011-02-25,spring,friday,1,misty,36.4348,0.350461,71.2174,0.346539,120,1341,1461,weekdays,Panas,Lembab
57,2011-02-26,spring,saturday,0,clear,28.249999999999996,0.282192,53.7917,0.186571,424,1545,1969,weekend,Ideal,Ideal
58,2011-02-27,spring,sunday,0,clear,34.3478,0.351109,68.0,0.125248,694,1708,2402,weekend,Panas,Ideal
59,2011-02-28,spring,monday,1,misty,40.7273,0.400118,87.63640000000001,0.289686,81,1365,1446,weekdays,,Lembab
60,2011-03-01,spring,tuesday,1,clear,26.6667,0.263879,53.5,0.216425,137,1714,1851,weekdays,Ideal,Ideal
61,2011-03-02,spring,wednesday,1,clear,33.5,0.320071,44.9583,0.307833,231,1903,2134,weekdays,Panas,Kering
62,2011-03-03,spring,thursday,1,clear,19.8333,0.200133,31.833299999999998,0.225754,123,1562,1685,weekdays,Dingin,Kering
63,2011-03-04,spring,friday,1,misty,26.1667,0.255679,61.0417,0.203346,214,1730,1944,weekdays,Ideal,Ideal
64,2011-03-05,spring,saturday,0,misty,38.4167,0.378779,78.91669999999999,0.251871,640,1437,2077,weekend,Panas,Lembab
65,2011-03-06,spring,sunday,0,misty,37.6522,0.366252,94.8261,0.343287,114,491,605,weekend,Panas,Lembab
66,2011-03-07,spring,monday,1,clear,26.1739,0.238461,55.1304,0.341352,244,1628,1872,weekdays,Ideal,Ideal
67,2011-03-08,spring,tuesday,1,clear,29.25,0.3024,42.0833,0.12065,316,1817,2133,weekdays,Ideal,Kering
68,2011-03-09,spring,wednesday,1,misty,29.5833,0.286608,77.5417,0.22015,191,1700,1891,weekdays,Ideal,Lembab
69,2011-03-10,spring,thursday,1,light_rain/snow,38.9091,0.385668,0.0,0.261877,46,577,623,weekdays,Panas,
70,2011-03-11,spring,friday,1,misty,31.652200000000004,0.305,64.95649999999999,0.23297,247,1730,1977,weekdays,Panas,Ideal
71,2011-03-12,spring,saturday,0,clear,32.9167,0.32575,59.458299999999994,0.220775,724,1408,2132,weekend,Panas,Ideal
72,2011-03-13,spring,sunday,0,clear,38.4348,0.380091,52.73910000000001,0.270604,982,1435,2417,weekend,Panas,Ideal
73,2011-03-14,spring,monday,1,clear,32.521699999999996,0.332,49.695699999999995,0.136926,359,1687,2046,weekdays,Panas,Ideal
74,2011-03-15,spring,tuesday,1,misty,31.739099999999997,0.318178,65.5652,0.184309,289,1767,2056,weekdays,Panas,Ideal
75,2011-03-16,spring,wednesday,1,misty,36.5217,0.36693,77.65220000000001,0.203117,321,1871,2192,weekdays,Panas,Lembab
76,2011-03-17,spring,thursday,1,clear,41.5,0.410333,60.291700000000006,0.209579,424,2320,2744,weekdays,,Ideal
77,2011-03-18,spring,friday,1,clear,54.0,0.527009,52.5217,0.231017,884,2355,3239,weekdays,,Ideal
78,2011-03-19,spring,saturday,0,clear,47.25,0.466525,37.9167,0.368167,1424,1693,3117,weekend,,Kering
79,2011-03-20,spring,sunday,0,clear,33.25,0.32575,47.375,0.207721,1047,1424,2471,weekend,Panas,Ideal
80,2011-03-21,summer,monday,1,misty,43.0435,0.409735,73.73910000000001,0.288783,401,1676,2077,weekdays,,Lembab
81,2011-03-22,summer,tuesday,1,clear,44.1667,0.440642,62.4583,0.22575,460,2243,2703,weekdays,,Ideal
82,2011-03-23,summer,wednesday,1,misty,34.6957,0.337939,83.9565,0.234261,203,1918,2121,weekdays,Panas,Lembab
83,2011-03-24,summer,thursday,1,misty,28.499999999999996,0.270833,80.58330000000001,0.243787,166,1699,1865,weekdays,Ideal,Lembab
84,2011-03-25,summer,friday,1,clear,26.4167,0.256312,49.5,0.230725,300,1910,2210,weekdays,Ideal,Ideal
85,2011-03-26,summer,saturday,0,clear,26.583299999999998,0.257571,39.4167,0.209571,981,1515,2496,weekend,Ideal,Kering
86,2011-03-27,summer,sunday,0,misty,25.3043,0.250339,49.3913,0.1843,472,1221,1693,weekend,Ideal,Ideal
87,2011-03-28,summer,monday,1,clear,26.434800000000003,0.257574,30.2174,0.212204,222,1806,2028,weekdays,Ideal,Kering
88,2011-03-29,summer,tuesday,1,clear,30.25,0.292908,31.4167,0.226996,317,2108,2425,weekdays,Panas,Kering
89,2011-03-30,summer,wednesday,1,misty,30.0,0.29735,64.6667,0.172888,168,1368,1536,weekdays,Ideal,Ideal
90,2011-03-31,summer,thursday,1,light_rain/snow,26.833299999999998,0.257575,91.8333,0.217646,179,1506,1685,weekdays,Ideal,Lembab
91,2011-04-01,summer,friday,1,misty,30.0,0.283454,68.625,0.258708,307,1920,2227,weekdays,Ideal,Ideal
92,2011-04-02,summer,saturday,0,misty,31.5,0.315637,65.375,0.197146,898,1354,2252,weekend,Panas,Ideal
93,2011-04-03,summer,sunday,0,clear,37.833299999999994,0.378767,48.0,0.182213,1651,1598,3249,weekend,Panas,Ideal
94,2011-04-04,summer,monday,1,clear,57.3333,0.542929,42.625,0.385571,734,2381,3115,weekdays,,Kering
95,2011-04-05,summer,tuesday,1,misty,41.4167,0.39835,64.2083,0.388067,167,1628,1795,weekdays,,Ideal
96,2011-04-06,summer,wednesday,1,clear,39.0833,0.387608,47.0833,0.263063,413,2395,2808,weekdays,Panas,Ideal
97,2011-04-07,summer,thursday,1,clear,43.75,0.433696,60.291700000000006,0.162312,571,2570,3141,weekdays,,Ideal
98,2011-04-08,summer,friday,1,misty,33.5833,0.324479,83.625,0.226992,172,1299,1471,weekdays,Panas,Lembab
99,2011-04-09,summer,saturday,0,misty,34.25,0.341529,87.75,0.133083,879,1576,2455,weekend,Panas,Lembab
100,2011-04-10,summer,sunday,0,misty,42.6667,0.426737,85.75,0.146767,1188,1707,2895,weekend,,Lembab
101,2011-04-11,summer,monday,1,misty,59.5652,0.565217,71.6956,0.324474,855,2493,3348,weekdays,,Lembab
102,2011-04-12,summer,tuesday,1,misty,50.24999999999999,0.493054,73.9167,0.274879,257,1777,2034,weekdays,,Lembab
103,2011-04-13,summer,wednesday,1,misty,41.25,0.417283,81.91669999999999,0.250617,209,1953,2162,weekdays,,Lembab
104,2011-04-14,summer,thursday,1,clear,46.75,0.462742,54.041700000000006,0.1107,529,2738,3267,weekdays,,Ideal
105,2011-04-15,summer,friday,0,clear,44.6667,0.441913,67.125,0.226375,642,2484,3126,weekdays,,Ideal
106,2011-04-16,summer,saturday,0,light_rain/snow,43.0833,0.425492,88.83330000000001,0.340808,121,674,795,weekend,,Lembab
107,2011-04-17,summer,sunday,0,clear,45.6667,0.445696,47.9583,0.303496,1558,2186,3744,weekend,,Ideal
108,2011-04-18,summer,monday,1,clear,51.24999999999999,0.503146,54.25,0.163567,669,2760,3429,weekdays,,Ideal
109,2011-04-19,summer,tuesday,1,misty,50.583299999999994,0.489258,66.5833,0.157971,409,2795,3204,weekdays,,Ideal
110,2011-04-20,summer,wednesday,1,clear,59.5,0.564392,61.4167,0.241925,613,3331,3944,weekdays,,Ideal
111,2011-04-21,summer,thursday,1,clear,45.9167,0.453892,40.708299999999994,0.325258,745,3444,4189,weekdays,,Kering
112,2011-04-22,summer,friday,1,misty,33.6667,0.321954,72.9583,0.219521,177,1506,1683,weekdays,Panas,Lembab
113,2011-04-23,summer,saturday,0,misty,46.0,0.450121,88.79169999999999,0.230725,1462,2574,4036,weekend,,Lembab
114,2011-04-24,summer,sunday,0,misty,58.166700000000006,0.551763,81.08330000000001,0.192175,1710,2481,4191,weekend,,Lembab
115,2011-04-25,summer,monday,1,clear,60.6667,0.5745,77.6667,0.185333,773,3300,4073,weekdays,,Lembab
116,2011-04-26,summer,tuesday,1,clear,63.1667,0.594083,72.9167,0.3265,678,3722,4400,weekdays,,Lembab
117,2011-04-27,summer,wednesday,1,misty,62.0,0.575142,83.54169999999999,0.3122,547,3325,3872,weekdays,,Lembab
118,2011-04-28,summer,thursday,1,misty,61.75000000000001,0.578929,70.08330000000001,0.320908,569,3489,4058,weekdays,,Lembab
119,2011-04-29,summer,friday,1,clear,51.0,0.497463,45.7083,0.240063,878,3717,4595,weekdays,,Ideal
120,2011-04-30,summer,saturday,0,clear,47.25,0.464021,50.3333,0.235075,1965,3347,5312,weekend,,Ideal
121,2011-05-01,summer,sunday,0,misty,45.1667,0.448204,76.2083,0.106354,1138,2213,3351,weekend,,Lembab
122,2011-05-02,summer,monday,1,misty,54.9167,0.532833,73.0,0.183454,847,3554,4401,weekdays,,Lembab
123,2011-05-03,summer,tuesday,1,misty,61.6667,0.582079,69.7083,0.342667,603,3848,4451,weekdays,,Ideal
124,2011-05-04,summer,wednesday,1,misty,41.4167,0.40465,73.70830000000001,0.328996,255,2378,2633,weekdays,,Lembab
125,2011-05-05,summer,thursday,1,clear,45.9167,0.441917,44.4167,0.295392,614,3819,4433,weekdays,,Kering
126,2011-05-06,summer,friday,1,clear,47.9167,0.474117,59.0,0.228246,894,3714,4608,weekdays,,Ideal
127,2011-05-07,summer,saturday,0,clear,52.0,0.512621,54.125,0.16045,1612,3102,4714,weekend,,Ideal
128,2011-05-08,summer,sunday,0,clear,52.83330000000001,0.518933,63.1667,0.0746375,1401,2932,4333,weekend,,Ideal
129,2011-05-09,summer,monday,1,clear,53.25,0.525246,58.875,0.176,664,3698,4362,weekdays,,Ideal
130,2011-05-10,summer,tuesday,1,clear,53.25,0.522721,48.9167,0.115671,694,4109,4803,weekdays,,Ideal
131,2011-05-11,summer,wednesday,1,clear,54.25,0.5284,63.29169999999999,0.120642,550,3632,4182,weekdays,,Ideal
132,2011-05-12,summer,thursday,1,clear,53.5,0.523363,74.75,0.189667,695,4169,4864,weekdays,,Lembab
133,2011-05-13,summer,friday,1,misty,51.24999999999999,0.4943,86.33330000000001,0.179725,692,3413,4105,weekdays,,Lembab
134,2011-05-14,summer,saturday,0,misty,52.0833,0.500629,92.25,0.13495,902,2507,3409,weekend,,Lembab
135,2011-05-15,summer,sunday,0,misty,56.25,0.536,86.70830000000001,0.152979,1582,2971,4553,weekend,,Lembab
136,2011-05-16,summer,monday,1,clear,57.75,0.550512,78.79169999999999,0.126871,773,3185,3958,weekdays,,Lembab
137,2011-05-17,summer,tuesday,1,misty,56.166700000000006,0.538529,83.7917,0.277354,678,3445,4123,weekdays,,Lembab
138,2011-05-18,summer,wednesday,1,misty,55.00000000000001,0.527158,87.0,0.201492,536,3319,3855,weekdays,,Lembab
139,2011-05-19,summer,thursday,1,misty,53.0833,0.510742,82.9583,0.108213,735,3840,4575,weekdays,,Lembab
140,2011-05-20,summer,friday,1,clear,53.6667,0.529042,71.9583,0.125013,909,4008,4917,weekdays,,Lembab
141,2011-05-21,summer,saturday,0,clear,60.25,0.571975,62.6667,0.12065,2258,3547,5805,weekend,,Ideal
142,2011-05-22,summer,sunday,0,clear,60.4167,0.5745,74.9583,0.148008,1576,3084,4660,weekend,,Lembab
143,2011-05-23,summer,monday,1,misty,63.1667,0.590296,81.0,0.233842,836,3438,4274,weekdays,,Lembab
144,2011-05-24,summer,tuesday,1,misty,66.0,0.604813,74.0833,0.207092,659,3833,4492,weekdays,,Lembab
145,2011-05-25,summer,wednesday,1,clear,66.0833,0.615542,69.625,0.154233,740,4238,4978,weekdays,,Ideal
146,2011-05-26,summer,thursday,1,clear,70.8333,0.654688,67.75,0.199642,758,3919,4677,weekdays,,Ideal
147,2011-05-27,summer,friday,1,clear,68.1667,0.637008,65.375,0.240679,871,3808,4679,weekdays,,Ideal
148,2011-05-28,summer,saturday,0,clear,65.5833,0.612379,72.9583,0.230092,2001,2757,4758,weekend,,Lembab
149,2011-05-29,summer,sunday,0,clear,66.75,0.61555,81.875,0.213938,2355,2433,4788,weekend,,Lembab
150,2011-05-30,summer,monday,0,clear,73.33330000000001,0.671092,68.5,0.131225,1549,2549,4098,weekdays,,Ideal
151,2011-05-31,summer,tuesday,1,clear,77.5,0.725383,63.6667,0.111329,673,3309,3982,weekdays,,Ideal
152,2011-06-01,summer,wednesday,1,misty,76.4167,0.720967,67.7083,0.207092,513,3461,3974,weekdays,,Ideal
153,2011-06-02,summer,thursday,1,clear,71.5,0.643942,30.5,0.292287,736,4232,4968,weekdays,,Kering
154,2011-06-03,summer,friday,1,clear,62.0,0.587133,35.4167,0.253121,898,4414,5312,weekdays,,Kering
155,2011-06-04,summer,saturday,0,clear,63.5,0.594696,45.625,0.123142,1869,3473,5342,weekend,,Ideal
156,2011-06-05,summer,sunday,0,misty,64.83330000000001,0.616804,65.25,0.138692,1685,3221,4906,weekend,,Ideal
157,2011-06-06,summer,monday,1,clear,67.8333,0.621858,60.0,0.121896,673,3875,4548,weekdays,,Ideal
158,2011-06-07,summer,tuesday,1,clear,70.75,0.65595,59.791700000000006,0.187808,763,4070,4833,weekdays,,Ideal
159,2011-06-08,summer,wednesday,1,clear,77.5833,0.727279,62.20830000000001,0.136817,676,3725,4401,weekdays,,Ideal
160,2011-06-09,summer,thursday,1,misty,80.8333,0.757579,56.833299999999994,0.149883,563,3352,3915,weekdays,,Ideal
161,2011-06-10,summer,friday,1,clear,75.5,0.703292,60.5,0.140554,815,3771,4586,weekdays,,Ideal
162,2011-06-11,summer,saturday,0,clear,72.5,0.678038,65.45830000000001,0.15485,1729,3237,4966,weekend,,Ideal
163,2011-06-12,summer,sunday,0,clear,69.25,0.643325,74.7917,0.163567,1467,2993,4460,weekend,,Lembab
164,2011-06-13,summer,monday,1,clear,63.5,0.601654,49.4583,0.30535,863,4157,5020,weekdays,,Ideal
165,2011-06-14,summer,tuesday,1,clear,60.4167,0.591546,50.708299999999994,0.269283,727,4164,4891,weekdays,,Ideal
166,2011-06-15,summer,wednesday,1,clear,62.6667,0.587754,47.1667,0.167912,769,4411,5180,weekdays,,Ideal
167,2011-06-16,summer,thursday,1,misty,62.8333,0.595346,68.8333,0.206471,545,3222,3767,weekdays,,Ideal
168,2011-06-17,summer,friday,1,clear,64.9167,0.600383,73.5833,0.143029,863,3981,4844,weekdays,,Lembab
169,2011-06-18,summer,saturday,0,clear,69.6667,0.643954,67.0417,0.119408,1807,3312,5119,weekend,,Ideal
170,2011-06-19,summer,sunday,0,misty,69.91669999999999,0.645846,66.6667,0.102,1639,3105,4744,weekend,,Ideal
171,2011-06-20,summer,monday,1,misty,63.5,0.595346,74.625,0.155475,699,3311,4010,weekdays,,Lembab
172,2011-06-21,fall,tuesday,1,misty,68.08330000000001,0.637646,77.0417,0.171025,774,4061,4835,weekdays,,Lembab
173,2011-06-22,fall,wednesday,1,clear,73.33330000000001,0.693829,70.75,0.172262,661,3846,4507,weekdays,,Lembab
174,2011-06-23,fall,thursday,1,misty,72.8333,0.693833,70.3333,0.238804,746,4044,4790,weekdays,,Lembab
175,2011-06-24,fall,friday,1,clear,72.4167,0.656583,57.3333,0.222025,969,4022,4991,weekdays,,Ideal
176,2011-06-25,fall,saturday,0,clear,69.5,0.643313,48.3333,0.209571,1782,3420,5202,weekend,,Ideal
177,2011-06-26,fall,sunday,0,clear,68.0,0.637629,51.3333,0.0945333,1920,3385,5305,weekend,,Ideal
178,2011-06-27,fall,monday,1,misty,68.25,0.637004,65.8333,0.107588,854,3854,4708,weekdays,,Ideal
179,2011-06-28,fall,tuesday,1,clear,74.4167,0.692558,63.416700000000006,0.144283,732,3916,4648,weekdays,,Ideal
180,2011-06-29,fall,wednesday,1,clear,72.8333,0.654688,49.7917,0.261821,848,4377,5225,weekdays,,Ideal
181,2011-06-30,fall,thursday,1,clear,69.6667,0.637008,43.416700000000006,0.185312,1027,4488,5515,weekdays,,Kering
182,2011-07-01,fall,friday,1,clear,72.25,0.652162,39.625,0.102608,1246,4116,5362,weekdays,,Kering
